,Penicillin G,Penicillin V,Oxacillin,Amoxicillin,Ampicillin,Piperacillin
Cefadroxil,0.05745420977473259,0.05745348706841469,0.04978140816092491,0.061038676649332047,0.06105346232652664,0.06393253803253174
Cephalexin,0.028780242428183556,0.028779862448573112,0.024835843592882156,0.03063393384218216,0.030641593039035797,0.03213563561439514
Cefazolin,0.017079640179872513,0.01707942597568035,0.014714546501636505,0.018193844705820084,0.01819845288991928,0.01909530535340309
Cefaclor,0.05863141268491745,0.058630675077438354,0.050809863954782486,0.06228446960449219,0.06229952350258827,0.06523329019546509
Cefoxitin,0.05553078278899193,0.05553007870912552,0.048101749271154404,0.059002771973609924,0.059017084538936615,0.06180645152926445
Cefprozil,0.03158123791217804,0.031580835580825806,0.027263732627034187,0.033609092235565186,0.033617470413446426,0.03525133058428764
Cefuroxime,0.02378980442881584,0.02378948964178562,0.02051491290330887,0.025330446660518646,0.025336816906929016,0.026579294353723526
Cefdinir,0.02631450816988945,0.02631416730582714,0.022700147703289986,0.028013966977596283,0.028020991012454033,0.029391124844551086
Ceftibuten,0.03158123791217804,0.031580835580825806,0.027263732627034187,0.033609092235565186,0.033617470413446426,0.03525133058428764
Cefpodoxime,0.021733643487095833,0.021733349189162254,0.01873636245727539,0.023144282400608063,0.023150116205215454,0.024288034066557884
Ceftazidime,0.01928744837641716,0.019287195056676865,0.0166217889636755,0.020542658865451813,0.02054784446954727,0.021560678258538246
Cefotaxime,0.01928744837641716,0.019287195056676865,0.0166217889636755,0.020542658865451813,0.02054784446954727,0.021560678258538246
Ceftriaxone,0.01928744837641716,0.019287195056676865,0.0166217889636755,0.020542658865451813,0.02054784446954727,0.021560678258538246
Cefixime,0.01928744837641716,0.019287195056676865,0.0166217889636755,0.020542658865451813,0.02054784446954727,0.021560678258538246
Cefditoren,0.01928744837641716,0.019287195056676865,0.0166217889636755,0.020542658865451813,0.02054784446954727,0.021560678258538246
Cefepime,0.01928744837641716,0.019287195056676865,0.0166217889636755,0.020542658865451813,0.02054784446954727,0.021560678258538246
Ceftaroline,0.01928744837641716,0.019287195056676865,0.0166217889636755,0.020542658865451813,0.02054784446954727,0.021560678258538246
